SAMPLE_ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,TARGET
1,0.10256410256410256,0.4,1.0,0.5,0.25,1.0,0.25,1.0,0.25,0.5,0.25,1.0,0.75,1.0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
2,0.10256410256410256,1.0,0.75,0.5,0.25,0.75,1.0,0.75,1.0,0.0,0.0,1.0,0.75,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
3,0.10256410256410256,0.6000000000000001,0.5,0.25,0.0,0.25,1.0,0.75,0.5,0.5,0.0,0.75,0.25,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
4,0.10256410256410256,1.0,0.75,0.25,0.0,0.5,1.0,0.5,1.0,0.0,0.25,0.75,0.5,0.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
5,0.10256410256410256,0.4,0.5,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
6,0.11538461538461539,0.4,0.75,0.75,0.25,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.25,0.75,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
7,0.10256410256410256,0.6000000000000001,0.75,0.5,0.25,0.25,0.75,0.5,1.0,0.5,0.75,1.0,1.0,0.5,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
8,0.10256410256410256,1.0,1.0,0.25,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
9,0.10256410256410256,1.0,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
10,0.08974358974358973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
11,0.14102564102564105,0.4,1.0,1.0,0.25,0.75,0.5,1.0,0.75,0.25,0.5,1.0,0.75,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
